Christian McCaffrey,CAR,RB1
Dalvin Cook,MIN,RB2
Derrick Henry,TEN,RB3
Alvin Kamara,NO,RB4
Saquon Barkley,NYG,RB5
Nick Chubb,CLE,RB6
Jonathan Taylor,IND,RB7
Aaron Jones,GB,RB8
Ezekiel Elliott,DAL,RB9
Tyreek Hill,KC,WR1
Davante Adams,GB,WR2
D.K. Metcalf,SEA,WR3
Cam Akers,LAR,RB10
Travis Kelce,KC,TE1
DeAndre Hopkins,ARI,WR4
A.J. Brown,TEN,WR5
Stefon Diggs,BUF,WR6
Calvin Ridley,ATL,WR7
Patrick Mahomes II,KC,QB1
Miles Sanders,PHI,RB11
J.K. Dobbins,BAL,RB12
Justin Jefferson,MIN,WR8
George Kittle,SF,TE2
Josh Jacobs,LV,RB13
Antonio Gibson,WAS,RB14
Joe Mixon,CIN,RB15
Allen Robinson II,CHI,WR9
Mark Andrews,BAL,TE3
Austin Ekeler,LAC,RB16
Mike Evans,TB,WR10
Keenan Allen,LAC,WR11
Julio Jones,ATL,WR12
D'Andre Swift,DET,RB17
Michael Thomas,NO,WR13
Chris Godwin,TB,WR14
Darren Waller,LV,TE4
Clyde Edwards-Helaire,KC,RB18
Terry McLaurin,WAS,WR15
Kenny Golladay,NYG,WR16
D.J. Moore,CAR,WR17
Adam Thielen,MIN,WR18
James Robinson,JAC,RB19
Josh Allen,BUF,QB2
David Montgomery,CHI,RB20
Robert Woods,LAR,WR19
Amari Cooper,DAL,WR20
Odell Beckham Jr.,CLE,WR21
CeeDee Lamb,DAL,WR22
Chris Carson,SEA,RB21
Kyler Murray,ARI,QB3
Will Fuller V,MIA,WR23
Diontae Johnson,PIT,WR24
T.J. Hockenson,DET,TE5
Brandon Aiyuk,SF,WR25
Tee Higgins,CIN,WR26
Kareem Hunt,CLE,RB22
Lamar Jackson,BAL,QB4
Melvin Gordon III,DEN,RB23
Kenyan Drake,LV,RB24
Dak Prescott,DAL,QB5
Courtland Sutton,DEN,WR27
Deshaun Watson,HOU,QB6
Tyler Lockett,SEA,WR28
Chase Claypool,PIT,WR29
Ronald Jones II,TB,RB25
D.J. Chark Jr.,JAC,WR30
Cooper Kupp,LAR,WR31
Aaron Rodgers,GB,QB7
David Johnson,HOU,RB26
Dallas Goedert,PHI,TE6
Noah Fant,DEN,TE7
Damien Harris,NE,RB27
Raheem Mostert,SF,RB28
Tyler Boyd,CIN,WR32
JuJu Smith-Schuster,PIT,WR33
Brandin Cooks,HOU,WR34
Justin Herbert,LAC,QB8
Marquise Brown,BAL,WR35
AJ Dillon,GB,RB29
Russell Wilson,SEA,QB9
Robert Tonyan,GB,TE8
Myles Gaskin,MIA,RB30
Jerry Jeudy,DEN,WR36
Deebo Samuel,SF,WR37
Zack Moss,BUF,RB31
Jarvis Landry,CLE,WR38
Corey Davis,NYJ,WR39
DeVante Parker,MIA,WR40
James Conner,PIT,RB32
Mike Gesicki,MIA,TE9
Robby Anderson,CAR,WR41
Ryan Tannehill,TEN,QB10
Michael Gallup,DAL,WR42
Curtis Samuel,WAS,WR43
Chase Edmonds,ARI,RB33
Devin Singletary,BUF,RB34
Jalen Hurts,PHI,QB11
Tom Brady,TB,QB12
Joe Burrow,CIN,QB13
Najee Harris,FA,RB35
Leonard Fournette,TB,RB36
Hunter Henry,NE,TE10
Matthew Stafford,LAR,QB14
Jonnu Smith,NE,TE11
Logan Thomas,WAS,TE12
Latavius Murray,NO,RB37
Jamison Crowder,NYJ,WR44
Travis Etienne,FA,RB38
Tony Pollard,DAL,RB39
Irv Smith Jr.,MIN,TE13
Mike Williams,LAC,WR45
Matt Ryan,ATL,QB15
Darrell Henderson,LAR,RB40
Phillip Lindsay,FA,RB41
Laviska Shenault Jr.,JAC,WR46
T.Y. Hilton,IND,WR47
Marvin Jones Jr.,JAC,WR48
Tarik Cohen,CHI,RB42
Rashaad Penny,SEA,RB43
Christian Kirk,ARI,WR49
Ja'Marr Chase,FA,WR50
Rob Gronkowski,TB,TE14
Evan Engram,NYG,TE15
Baker Mayfield,CLE,QB16
Kirk Cousins,MIN,QB17
Nyheim Hines,IND,RB44
Hayden Hurst,ATL,TE16
Sterling Shepard,NYG,WR51
Devonta Smith,FA,WR52
Jalen Reagor,PHI,WR53
Tyler Higbee,LAR,TE17
Jamaal Williams,DET,RB45
Antonio Brown,TB,WR54
Carson Wentz,IND,QB18